trade_date,rewards
2010-06-01,10000
2010-06-02,"tf.Tensor(0.06948888, shape=(), dtype=float32)"
2010-06-03,"tf.Tensor(0.06944859, shape=(), dtype=float32)"
2010-06-04,"tf.Tensor(0.06909633, shape=(), dtype=float32)"
2010-06-07,"tf.Tensor(0.06800163, shape=(), dtype=float32)"
2010-06-08,"tf.Tensor(0.06839633, shape=(), dtype=float32)"
2010-06-09,"tf.Tensor(0.069627404, shape=(), dtype=float32)"
2010-06-10,"tf.Tensor(0.0697937, shape=(), dtype=float32)"
2010-06-11,"tf.Tensor(0.07001376, shape=(), dtype=float32)"
2010-06-12,"tf.Tensor(0.069998145, shape=(), dtype=float32)"
2010-06-13,"tf.Tensor(0.069984674, shape=(), dtype=float32)"
2010-06-14,"tf.Tensor(0.07008052, shape=(), dtype=float32)"
2010-06-15,"tf.Tensor(0.07042587, shape=(), dtype=float32)"
2010-06-16,"tf.Tensor(0.07040155, shape=(), dtype=float32)"
2010-06-17,"tf.Tensor(0.07013583, shape=(), dtype=float32)"
2010-06-18,"tf.Tensor(0.06903911, shape=(), dtype=float32)"
2010-06-21,"tf.Tensor(0.07074976, shape=(), dtype=float32)"
2010-06-22,"tf.Tensor(0.07057953, shape=(), dtype=float32)"
2010-06-23,"tf.Tensor(0.07020283, shape=(), dtype=float32)"
2010-06-24,"tf.Tensor(0.069827795, shape=(), dtype=float32)"
2010-06-25,"tf.Tensor(0.06938505, shape=(), dtype=float32)"
2010-06-28,"tf.Tensor(0.06892407, shape=(), dtype=float32)"
2010-06-29,"tf.Tensor(0.06587005, shape=(), dtype=float32)"
2010-06-30,"tf.Tensor(0.06496525, shape=(), dtype=float32)"
2010-07-01,"tf.Tensor(0.06428909, shape=(), dtype=float32)"
2010-07-02,"tf.Tensor(0.06405079, shape=(), dtype=float32)"
2010-07-05,"tf.Tensor(0.06364775, shape=(), dtype=float32)"
2010-07-06,"tf.Tensor(0.06494427, shape=(), dtype=float32)"
2010-07-07,"tf.Tensor(0.0656327, shape=(), dtype=float32)"
2010-07-08,"tf.Tensor(0.06575632, shape=(), dtype=float32)"
2010-07-09,"tf.Tensor(0.067301154, shape=(), dtype=float32)"
2010-07-12,"tf.Tensor(0.06782341, shape=(), dtype=float32)"
2010-07-13,"tf.Tensor(0.06731367, shape=(), dtype=float32)"
2010-07-14,"tf.Tensor(0.06776583, shape=(), dtype=float32)"
2010-07-15,"tf.Tensor(0.06664622, shape=(), dtype=float32)"
2010-07-16,"tf.Tensor(0.06632209, shape=(), dtype=float32)"
2010-07-19,"tf.Tensor(0.067325115, shape=(), dtype=float32)"
2010-07-20,"tf.Tensor(0.068686366, shape=(), dtype=float32)"
2010-07-21,"tf.Tensor(0.068743825, shape=(), dtype=float32)"
2010-07-22,"tf.Tensor(0.06971192, shape=(), dtype=float32)"
2010-07-23,"tf.Tensor(0.07009256, shape=(), dtype=float32)"
2010-07-26,"tf.Tensor(0.0706625, shape=(), dtype=float32)"
2010-07-27,"tf.Tensor(0.070557356, shape=(), dtype=float32)"
2010-07-28,"tf.Tensor(0.07157612, shape=(), dtype=float32)"
2010-07-29,"tf.Tensor(0.07177293, shape=(), dtype=float32)"
2010-07-30,"tf.Tensor(0.07158959, shape=(), dtype=float32)"
2010-08-02,"tf.Tensor(0.07291579, shape=(), dtype=float32)"
2010-08-03,"tf.Tensor(0.072065115, shape=(), dtype=float32)"
2010-08-04,"tf.Tensor(0.07253003, shape=(), dtype=float32)"
2010-08-05,"tf.Tensor(0.072336674, shape=(), dtype=float32)"
2010-08-06,"tf.Tensor(0.07314217, shape=(), dtype=float32)"
2010-08-09,"tf.Tensor(0.073687196, shape=(), dtype=float32)"
2010-08-10,"tf.Tensor(0.07188141, shape=(), dtype=float32)"
2010-08-11,"tf.Tensor(0.07166076, shape=(), dtype=float32)"
2010-08-12,"tf.Tensor(0.07087314, shape=(), dtype=float32)"
2010-08-13,"tf.Tensor(0.071460605, shape=(), dtype=float32)"
