trade_date,rewards
2010-06-01,10000
2010-06-02,"tf.Tensor(1.4971522, shape=(), dtype=float32)"
2010-06-03,"tf.Tensor(1.4962184, shape=(), dtype=float32)"
2010-06-04,"tf.Tensor(1.4952853, shape=(), dtype=float32)"
2010-06-07,"tf.Tensor(1.494353, shape=(), dtype=float32)"
2010-06-08,"tf.Tensor(1.4934335, shape=(), dtype=float32)"
2010-06-09,"tf.Tensor(1.4925076, shape=(), dtype=float32)"
2010-06-10,"tf.Tensor(1.491562, shape=(), dtype=float32)"
2010-06-11,"tf.Tensor(1.4906143, shape=(), dtype=float32)"
2010-06-12,"tf.Tensor(1.4896653, shape=(), dtype=float32)"
2010-06-13,"tf.Tensor(1.4887162, shape=(), dtype=float32)"
2010-06-14,"tf.Tensor(1.4877671, shape=(), dtype=float32)"
2010-06-15,"tf.Tensor(1.4868165, shape=(), dtype=float32)"
2010-06-16,"tf.Tensor(1.4858618, shape=(), dtype=float32)"
2010-06-17,"tf.Tensor(1.484907, shape=(), dtype=float32)"
2010-06-18,"tf.Tensor(1.4839586, shape=(), dtype=float32)"
2010-06-21,"tf.Tensor(1.4830297, shape=(), dtype=float32)"
2010-06-22,"tf.Tensor(1.4820762, shape=(), dtype=float32)"
2010-06-23,"tf.Tensor(1.4811221, shape=(), dtype=float32)"
2010-06-24,"tf.Tensor(1.4801722, shape=(), dtype=float32)"
2010-06-25,"tf.Tensor(1.4792265, shape=(), dtype=float32)"
2010-06-28,"tf.Tensor(1.4782892, shape=(), dtype=float32)"
2010-06-29,"tf.Tensor(1.477359, shape=(), dtype=float32)"
2010-06-30,"tf.Tensor(1.4764727, shape=(), dtype=float32)"
2010-07-01,"tf.Tensor(1.4755979, shape=(), dtype=float32)"
2010-07-02,"tf.Tensor(1.4747336, shape=(), dtype=float32)"
2010-07-05,"tf.Tensor(1.4738733, shape=(), dtype=float32)"
2010-07-06,"tf.Tensor(1.4730177, shape=(), dtype=float32)"
2010-07-07,"tf.Tensor(1.4721425, shape=(), dtype=float32)"
2010-07-08,"tf.Tensor(1.4712573, shape=(), dtype=float32)"
2010-07-09,"tf.Tensor(1.4703712, shape=(), dtype=float32)"
2010-07-12,"tf.Tensor(1.4694626, shape=(), dtype=float32)"
2010-07-13,"tf.Tensor(1.4685465, shape=(), dtype=float32)"
2010-07-14,"tf.Tensor(1.467638, shape=(), dtype=float32)"
2010-07-15,"tf.Tensor(1.4667238, shape=(), dtype=float32)"
2010-07-16,"tf.Tensor(1.4658259, shape=(), dtype=float32)"
2010-07-19,"tf.Tensor(1.4649311, shape=(), dtype=float32)"
2010-07-20,"tf.Tensor(1.4640205, shape=(), dtype=float32)"
2010-07-21,"tf.Tensor(1.4630884, shape=(), dtype=float32)"
2010-07-22,"tf.Tensor(1.462155, shape=(), dtype=float32)"
2010-07-23,"tf.Tensor(1.4612081, shape=(), dtype=float32)"
2010-07-26,"tf.Tensor(1.460256, shape=(), dtype=float32)"
2010-07-27,"tf.Tensor(1.4592944, shape=(), dtype=float32)"
2010-07-28,"tf.Tensor(1.4583337, shape=(), dtype=float32)"
2010-07-29,"tf.Tensor(1.4573557, shape=(), dtype=float32)"
2010-07-30,"tf.Tensor(1.456375, shape=(), dtype=float32)"
2010-08-02,"tf.Tensor(1.4553968, shape=(), dtype=float32)"
2010-08-03,"tf.Tensor(1.4543985, shape=(), dtype=float32)"
2010-08-04,"tf.Tensor(1.4534142, shape=(), dtype=float32)"
2010-08-05,"tf.Tensor(1.452423, shape=(), dtype=float32)"
2010-08-06,"tf.Tensor(1.4514325, shape=(), dtype=float32)"
2010-08-09,"tf.Tensor(1.4504279, shape=(), dtype=float32)"
2010-08-10,"tf.Tensor(1.4494141, shape=(), dtype=float32)"
2010-08-11,"tf.Tensor(1.4484288, shape=(), dtype=float32)"
2010-08-12,"tf.Tensor(1.4474431, shape=(), dtype=float32)"
2010-08-13,"tf.Tensor(1.446468, shape=(), dtype=float32)"
2010-08-16,"tf.Tensor(1.4454817, shape=(), dtype=float32)"
2010-08-17,"tf.Tensor(1.4444768, shape=(), dtype=float32)"
2010-08-18,"tf.Tensor(1.4434639, shape=(), dtype=float32)"
2010-08-19,"tf.Tensor(1.4424522, shape=(), dtype=float32)"
2010-08-20,"tf.Tensor(1.4414395, shape=(), dtype=float32)"
2010-08-23,"tf.Tensor(1.4404441, shape=(), dtype=float32)"
2010-08-24,"tf.Tensor(1.4394474, shape=(), dtype=float32)"
2010-08-25,"tf.Tensor(1.4384485, shape=(), dtype=float32)"
2010-08-26,"tf.Tensor(1.4374647, shape=(), dtype=float32)"
2010-08-27,"tf.Tensor(1.4364789, shape=(), dtype=float32)"
2010-08-30,"tf.Tensor(1.4354855, shape=(), dtype=float32)"
2010-08-31,"tf.Tensor(1.4344758, shape=(), dtype=float32)"
2010-09-01,"tf.Tensor(1.4334668, shape=(), dtype=float32)"
2010-09-02,"tf.Tensor(1.4324586, shape=(), dtype=float32)"
2010-09-03,"tf.Tensor(1.4314358, shape=(), dtype=float32)"
2010-09-06,"tf.Tensor(1.430408, shape=(), dtype=float32)"
2010-09-07,"tf.Tensor(1.4293706, shape=(), dtype=float32)"
2010-09-08,"tf.Tensor(1.4283323, shape=(), dtype=float32)"
2010-09-09,"tf.Tensor(1.4272923, shape=(), dtype=float32)"
2010-09-10,"tf.Tensor(1.4262621, shape=(), dtype=float32)"
2010-09-13,"tf.Tensor(1.4252248, shape=(), dtype=float32)"
2010-09-14,"tf.Tensor(1.4241709, shape=(), dtype=float32)"
2010-09-15,"tf.Tensor(1.423115, shape=(), dtype=float32)"
2010-09-16,"tf.Tensor(1.4220705, shape=(), dtype=float32)"
2010-09-17,"tf.Tensor(1.421044, shape=(), dtype=float32)"
2010-09-19,"tf.Tensor(1.4200146, shape=(), dtype=float32)"
2010-09-20,"tf.Tensor(1.4189851, shape=(), dtype=float32)"
2010-09-21,"tf.Tensor(1.4179578, shape=(), dtype=float32)"
2010-09-22,"tf.Tensor(1.4169298, shape=(), dtype=float32)"
2010-09-23,"tf.Tensor(1.4159023, shape=(), dtype=float32)"
2010-09-24,"tf.Tensor(1.414876, shape=(), dtype=float32)"
2010-09-25,"tf.Tensor(1.4138453, shape=(), dtype=float32)"
2010-09-26,"tf.Tensor(1.4128144, shape=(), dtype=float32)"
2010-09-27,"tf.Tensor(1.4117832, shape=(), dtype=float32)"
2010-09-28,"tf.Tensor(1.4107351, shape=(), dtype=float32)"
2010-09-29,"tf.Tensor(1.4096926, shape=(), dtype=float32)"
2010-09-30,"tf.Tensor(1.4086531, shape=(), dtype=float32)"
2010-10-01,"tf.Tensor(1.4076008, shape=(), dtype=float32)"
2010-10-04,"tf.Tensor(1.4065477, shape=(), dtype=float32)"
2010-10-05,"tf.Tensor(1.4054936, shape=(), dtype=float32)"
2010-10-06,"tf.Tensor(1.4044355, shape=(), dtype=float32)"
2010-10-07,"tf.Tensor(1.4033755, shape=(), dtype=float32)"
2010-10-08,"tf.Tensor(1.4023155, shape=(), dtype=float32)"
2010-10-09,"tf.Tensor(1.4012309, shape=(), dtype=float32)"
2010-10-11,"tf.Tensor(1.4001464, shape=(), dtype=float32)"
2010-10-12,"tf.Tensor(1.3990484, shape=(), dtype=float32)"
2010-10-13,"tf.Tensor(1.3979449, shape=(), dtype=float32)"
2010-10-14,"tf.Tensor(1.39683, shape=(), dtype=float32)"
2010-10-15,"tf.Tensor(1.3957223, shape=(), dtype=float32)"
2010-10-18,"tf.Tensor(1.3945998, shape=(), dtype=float32)"
2010-10-19,"tf.Tensor(1.3934871, shape=(), dtype=float32)"
2010-10-20,"tf.Tensor(1.3923539, shape=(), dtype=float32)"
2010-10-21,"tf.Tensor(1.3912184, shape=(), dtype=float32)"
2010-10-22,"tf.Tensor(1.3900813, shape=(), dtype=float32)"
2010-10-25,"tf.Tensor(1.3889408, shape=(), dtype=float32)"
2010-10-26,"tf.Tensor(1.3877763, shape=(), dtype=float32)"
2010-10-27,"tf.Tensor(1.3866112, shape=(), dtype=float32)"
2010-10-28,"tf.Tensor(1.3854614, shape=(), dtype=float32)"
2010-10-29,"tf.Tensor(1.3843117, shape=(), dtype=float32)"
2010-11-01,"tf.Tensor(1.3831595, shape=(), dtype=float32)"
2010-11-02,"tf.Tensor(1.3819803, shape=(), dtype=float32)"
2010-11-03,"tf.Tensor(1.3808048, shape=(), dtype=float32)"
2010-11-04,"tf.Tensor(1.3796355, shape=(), dtype=float32)"
2010-11-05,"tf.Tensor(1.3784426, shape=(), dtype=float32)"
2010-11-08,"tf.Tensor(1.3772342, shape=(), dtype=float32)"
2010-11-09,"tf.Tensor(1.3760136, shape=(), dtype=float32)"
2010-11-10,"tf.Tensor(1.3747975, shape=(), dtype=float32)"
2010-11-11,"tf.Tensor(1.3735842, shape=(), dtype=float32)"
2010-11-12,"tf.Tensor(1.3723699, shape=(), dtype=float32)"
2010-11-15,"tf.Tensor(1.3712128, shape=(), dtype=float32)"
2010-11-16,"tf.Tensor(1.3700435, shape=(), dtype=float32)"
2010-11-17,"tf.Tensor(1.3689139, shape=(), dtype=float32)"
2010-11-18,"tf.Tensor(1.3678107, shape=(), dtype=float32)"
2010-11-19,"tf.Tensor(1.3666891, shape=(), dtype=float32)"
2010-11-22,"tf.Tensor(1.3655515, shape=(), dtype=float32)"
2010-11-23,"tf.Tensor(1.3644108, shape=(), dtype=float32)"
2010-11-24,"tf.Tensor(1.3632925, shape=(), dtype=float32)"
2010-11-25,"tf.Tensor(1.3621536, shape=(), dtype=float32)"
2010-11-26,"tf.Tensor(1.3610058, shape=(), dtype=float32)"
2010-11-29,"tf.Tensor(1.3598667, shape=(), dtype=float32)"
2010-11-30,"tf.Tensor(1.3587251, shape=(), dtype=float32)"
2010-12-01,"tf.Tensor(1.3576022, shape=(), dtype=float32)"
2010-12-02,"tf.Tensor(1.356473, shape=(), dtype=float32)"
2010-12-03,"tf.Tensor(1.3553352, shape=(), dtype=float32)"
2010-12-06,"tf.Tensor(1.3542011, shape=(), dtype=float32)"
2010-12-07,"tf.Tensor(1.3530717, shape=(), dtype=float32)"
2010-12-08,"tf.Tensor(1.3519291, shape=(), dtype=float32)"
2010-12-09,"tf.Tensor(1.3507932, shape=(), dtype=float32)"
2010-12-10,"tf.Tensor(1.3496696, shape=(), dtype=float32)"
2010-12-13,"tf.Tensor(1.3485341, shape=(), dtype=float32)"
2010-12-14,"tf.Tensor(1.3473736, shape=(), dtype=float32)"
2010-12-15,"tf.Tensor(1.3462073, shape=(), dtype=float32)"
2010-12-16,"tf.Tensor(1.3450496, shape=(), dtype=float32)"
2010-12-17,"tf.Tensor(1.343896, shape=(), dtype=float32)"
2010-12-20,"tf.Tensor(1.3427418, shape=(), dtype=float32)"
2010-12-21,"tf.Tensor(1.3415979, shape=(), dtype=float32)"
2010-12-22,"tf.Tensor(1.3404375, shape=(), dtype=float32)"
2010-12-23,"tf.Tensor(1.3392842, shape=(), dtype=float32)"
2010-12-24,"tf.Tensor(1.3381433, shape=(), dtype=float32)"
2010-12-27,"tf.Tensor(1.3370128, shape=(), dtype=float32)"
2010-12-28,"tf.Tensor(1.3359011, shape=(), dtype=float32)"
2010-12-29,"tf.Tensor(1.3348067, shape=(), dtype=float32)"
2010-12-30,"tf.Tensor(1.3336982, shape=(), dtype=float32)"
2010-12-31,"tf.Tensor(1.3325865, shape=(), dtype=float32)"
2011-01-03,"tf.Tensor(1.3314581, shape=(), dtype=float32)"
2011-01-04,"tf.Tensor(1.330324, shape=(), dtype=float32)"
2011-01-05,"tf.Tensor(1.3291755, shape=(), dtype=float32)"
2011-01-06,"tf.Tensor(1.328027, shape=(), dtype=float32)"
2011-01-07,"tf.Tensor(1.3268837, shape=(), dtype=float32)"
2011-01-10,"tf.Tensor(1.3257415, shape=(), dtype=float32)"
2011-01-11,"tf.Tensor(1.324619, shape=(), dtype=float32)"
2011-01-12,"tf.Tensor(1.323495, shape=(), dtype=float32)"
2011-01-13,"tf.Tensor(1.322362, shape=(), dtype=float32)"
2011-01-14,"tf.Tensor(1.3212274, shape=(), dtype=float32)"
2011-01-17,"tf.Tensor(1.320105, shape=(), dtype=float32)"
2011-01-18,"tf.Tensor(1.3190148, shape=(), dtype=float32)"
2011-01-19,"tf.Tensor(1.3179231, shape=(), dtype=float32)"
2011-01-20,"tf.Tensor(1.3168133, shape=(), dtype=float32)"
2011-01-21,"tf.Tensor(1.3157338, shape=(), dtype=float32)"
2011-01-24,"tf.Tensor(1.3146477, shape=(), dtype=float32)"
2011-01-25,"tf.Tensor(1.3135747, shape=(), dtype=float32)"
2011-01-26,"tf.Tensor(1.3125087, shape=(), dtype=float32)"
2011-01-27,"tf.Tensor(1.311429, shape=(), dtype=float32)"
2011-01-28,"tf.Tensor(1.3103365, shape=(), dtype=float32)"
2011-01-30,"tf.Tensor(1.3092442, shape=(), dtype=float32)"
2011-01-31,"tf.Tensor(1.3081518, shape=(), dtype=float32)"
2011-02-01,"tf.Tensor(1.3070495, shape=(), dtype=float32)"
2011-02-02,"tf.Tensor(1.3059417, shape=(), dtype=float32)"
2011-02-03,"tf.Tensor(1.3048308, shape=(), dtype=float32)"
2011-02-04,"tf.Tensor(1.3037194, shape=(), dtype=float32)"
2011-02-07,"tf.Tensor(1.3026072, shape=(), dtype=float32)"
2011-02-08,"tf.Tensor(1.3014966, shape=(), dtype=float32)"
2011-02-09,"tf.Tensor(1.3003857, shape=(), dtype=float32)"
2011-02-10,"tf.Tensor(1.299286, shape=(), dtype=float32)"
2011-02-11,"tf.Tensor(1.2981721, shape=(), dtype=float32)"
2011-02-12,"tf.Tensor(1.2970492, shape=(), dtype=float32)"
2011-02-14,"tf.Tensor(1.2959262, shape=(), dtype=float32)"
2011-02-15,"tf.Tensor(1.2947811, shape=(), dtype=float32)"
2011-02-16,"tf.Tensor(1.2936387, shape=(), dtype=float32)"
2011-02-17,"tf.Tensor(1.2924831, shape=(), dtype=float32)"
2011-02-18,"tf.Tensor(1.2913228, shape=(), dtype=float32)"
2011-02-21,"tf.Tensor(1.2901676, shape=(), dtype=float32)"
2011-02-22,"tf.Tensor(1.2890006, shape=(), dtype=float32)"
2011-02-23,"tf.Tensor(1.2878633, shape=(), dtype=float32)"
2011-02-24,"tf.Tensor(1.2867216, shape=(), dtype=float32)"
2011-02-25,"tf.Tensor(1.285576, shape=(), dtype=float32)"
2011-02-28,"tf.Tensor(1.284424, shape=(), dtype=float32)"
2011-03-01,"tf.Tensor(1.2832584, shape=(), dtype=float32)"
2011-03-02,"tf.Tensor(1.2820913, shape=(), dtype=float32)"
2011-03-03,"tf.Tensor(1.2809294, shape=(), dtype=float32)"
2011-03-04,"tf.Tensor(1.2797737, shape=(), dtype=float32)"
2011-03-07,"tf.Tensor(1.278607, shape=(), dtype=float32)"
2011-03-08,"tf.Tensor(1.2774291, shape=(), dtype=float32)"
2011-03-09,"tf.Tensor(1.2762437, shape=(), dtype=float32)"
2011-03-10,"tf.Tensor(1.2750559, shape=(), dtype=float32)"
2011-03-11,"tf.Tensor(1.2738826, shape=(), dtype=float32)"
2011-03-14,"tf.Tensor(1.2727158, shape=(), dtype=float32)"
2011-03-15,"tf.Tensor(1.2715441, shape=(), dtype=float32)"
2011-03-16,"tf.Tensor(1.2703902, shape=(), dtype=float32)"
2011-03-17,"tf.Tensor(1.2692288, shape=(), dtype=float32)"
2011-03-18,"tf.Tensor(1.2680812, shape=(), dtype=float32)"
2011-03-21,"tf.Tensor(1.2669288, shape=(), dtype=float32)"
